err_18_regr,alpha_18_regr,v_18_regr,err_1,err_18,err_19,true_v,true_alpha
7.068155766,0,0,0.021382332,0.448417664,1.544573784,7,90
1.304499626,0,16,0.643932343,0.090524673,0.73225975,12,20
0.015195847,10,10,3.80463028,3.513439178,2.883220673,12,60
0.570885658,15,15,0.665757179,0.415149689,0.138890266,10,15
2.092339516,30,10,0.664383888,2.265684128,2.300112724,10,20
0.526032448,45,12,0.960836411,1.512182236,1.592799187,12,20
1.544994354,5,7,2.366827011,1.717134476,1.006649017,10,5
1.89807415,75,10,1.120798588,2.021846771,2.996181011,5,90
2.790209293,90,5,1.517845154,0.547379494,0.685493469,15,10
0.440824032,0,7,1.826496124,1.128424644,0.458101273,10,0
0.564003944,10,15,5.271855354,4.626758099,3.639552116,12,60
0.101707458,15,12,4.120045662,3.453997612,2.51072979,13.5,45
1.357640266,20,10,0.581091404,0.313200951,1.170797348,7,5
3.433666229,30,7,,,,,
0.603028297,5,15,,,,,
0.122252464,60,7,,,,,
2.084708691,90,5,,,,,
7.307740211,0,0,,,,,
1.795757294,0,18,,,,,
0.007964134,10,10,,,,,
1.320532799,15,7,,,,,
0.102910042,20,12,,,,,
0.515901566,30,13.5,,,,,
4.592894554,45,13.5,,,,,
1.027274132,5,7,,,,,
1.709290504,60,10,,,,,
0.847720146,90,7,,,,,
